N0,B1,B2,F,S,nLL,n_obs,n_par,AICc,delta_AICc
67,175.666666666667,3.16666666666667e-11,1e-06,1,24.8507118327534,25,5,59.7014236655068,0
100,153,2.53333333333333e-11,1e-06,1,25.3321088048966,25,5,60.6642176097932,0.962793944286375
67,221,5.7e-11,1e-06,1,25.4359795778391,25,5,60.8719591556783,1.17053549017145
12,187,1.26666666666667e-11,6.44444444444444e-06,1,25.6802280167639,25,5,61.3604560335277,1.6590323680209
12,198.333333333333,6.33333333333333e-12,6.44444444444444e-06,1,28.4732026826758,25,5,66.9464053653515,7.24498169984469
23,198.333333333333,3.8e-11,1e-06,1,28.6533574238643,25,5,67.3067148477287,7.60529118222187
23,175.666666666667,6.33333333333333e-12,1e-06,1,28.6883744336872,25,5,67.3767488673744,7.67532520186757
12,164.333333333333,5.7e-11,1.18888888888889e-05,1,28.7540667741563,25,5,67.5081335483127,7.80670988280583
34,153,4.43333333333333e-11,6.44444444444444e-06,1,29.3185049861928,25,5,68.6370099723857,8.93558630687884
6.02455883354491,207.5,0,1.20475103720985e-05,0.324547402116306,0,25,5,0,0
